SalesID,SalePrice
1222837,19975.570685788578
1222839,32313.092507375884
1222841,32239.508878221288
1222843,19975.570685788578
1222845,32264.036754606153
1222847,32251.77281641372
1222849,19975.570685788578
1222850,19975.570685788578
1222855,19975.570685788578
1222863,32264.036754606153
1222864,19975.570685788578
1222865,32325.356445568315
1222867,32313.092507375884
1222879,32325.356445568315
1222883,32313.092507375884
1222905,32300.82856918345
1222908,32288.56463099102
1222910,32288.56463099102
1222911,19975.570685788578
1222917,19975.570685788578
1222918,19975.570685788578
1222919,19975.570685788578
1222920,19975.570685788578
1222926,19975.570685788578
1222969,32313.092507375884
1222973,19975.570685788578
1222977,19975.570685788578
1222978,19975.570685788578
1222980,32313.092507375884
1222981,32300.82856918345
1222984,32325.356445568315
1222990,19975.570685788578
1222993,19975.570685788578
1222997,19975.570685788578
1222999,32227.244940028853
1223003,32325.356445568315
1223014,32300.82856918345
1223039,19975.570685788578
1223040,19975.570685788578
1223041,32227.244940028853
1223042,32227.244940028853
1223043,19975.570685788578
1223057,32276.300692798584
1223058,32227.244940028853
1223059,32300.82856918345
1223060,32276.300692798584
1223067,19975.570685788578
1223069,32300.82856918345
1223070,32276.300692798584
1223072,32251.77281641372
1223073,32276.300692798584
1223074,32300.82856918345
1223075,32251.77281641372
1223076,32264.036754606153
1223077,32251.77281641372
1223078,32214.981001836422
1223079,32227.244940028853
1223080,32214.981001836422
1223081,32227.244940028853
1223082,32251.77281641372
1223083,32300.82856918345
1223084,32202.71706364399
1223091,32300.82856918345
1223094,32276.300692798584
1223095,19975.570685788578
1223099,19975.570685788578
1223101,32288.56463099102
1223115,32313.092507375884
1223116,32202.71706364399
1223117,32239.508878221288
1223118,32313.092507375884
1223121,32300.82856918345
1223124,32313.092507375884
1223129,32227.244940028853
1223130,32227.244940028853
1223141,32300.82856918345
1223145,19975.570685788578
1223147,32362.148260145615
1223148,32300.82856918345
1223149,32362.148260145615
1223150,32337.62038376075
1223151,32349.88432195318
1223152,32337.62038376075
1223154,32349.88432195318
